"ISO3","Year","AgeLow","AgeUp","Sex","Variable","Quantile","Measles","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Congenital","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"SMR",2017,5,9,"B","Deaths","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMR",2017,5,9,"B","Deaths","Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMR",2017,5,9,"B","Deaths","Upper",0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
"SMR",2017,5,9,"B","Fraction","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMR",2017,5,9,"B","Fraction","Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMR",2017,5,9,"B","Fraction","Upper",0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
"SMR",2017,5,9,"B","Rate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMR",2017,5,9,"B","Rate","Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMR",2017,5,9,"B","Rate","Upper",0,0.31676,0.31676,0.31676,0.31676,0,0.31676,0.31676,0.31676,0.31676,0.31676,0.31676,0.31676,0.31676,0,0
"SMR",2018,5,9,"B","Deaths","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMR",2018,5,9,"B","Deaths","Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMR",2018,5,9,"B","Deaths","Upper",0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
"SMR",2018,5,9,"B","Fraction","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMR",2018,5,9,"B","Fraction","Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMR",2018,5,9,"B","Fraction","Upper",0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
"SMR",2018,5,9,"B","Rate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMR",2018,5,9,"B","Rate","Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
